Date,Water_Usage,Electricity_Usage,Waste_Collection,Temperature,Humidity,Rainfall,Water_Flow,Electricity_Reading,Waste_Level
01-01-2024,1307.264556,470.5206066,27.31755111,24.76419529,68.42474832,3.901109742,102.4021601,197.8028532,14.0548032
02-01-2024,1322.524943,415.8321825,27.81855044,25.59578503,50.93912684,3.487422401,120.360061,193.3893459,17.74919983
03-01-2024,1352.849799,561.5189579,30.13792528,25.14563199,49.56611798,2.880451223,92.38770354,217.9711179,15.94333087
04-01-2024,1272.678758,448.7095257,26.21068953,32.3941456,44.8202742,0.008008837,98.95878122,211.9442023,13.75838839
05-01-2024,1301.096403,499.0386793,23.99457988,14.22382756,49.29918579,0.502973205,102.1794574,223.742724,14.78059852
06-01-2024,1274.371258,508.6446495,29.65353805,27.02184782,58.89780739,0.726262768,102.3691709,177.9024594,14.57819401
07-01-2024,1391.862042,435.1515176,14.0512783,24.80821404,53.18318641,10.0142792,102.8315287,197.8788109,12.70162004
08-01-2024,1426.99665,436.8157032,28.10455022,30.48649613,42.00844399,6.20663704,96.39432716,225.0890322,14.98902888
09-01-2024,1405.286818,462.0018116,30.04295257,15.45439969,48.32045074,0.051904895,100.9300384,183.0487582,13.3522055
10-01-2024,1497.536594,381.1804955,32.4068514,22.16903881,53.29865417,3.169834977,104.5537867,196.7676179,17.25992674
11-01-2024,1353.544642,533.6098963,34.77607776,20.3068408,74.72922299,1.278992872,103.2372427,219.8480758,13.30850516
12-01-2024,1399.755855,422.0294457,29.31786024,32.65728312,49.26962006,0.370058445,104.4350341,233.5392435,11.98850938
13-01-2024,1297.521746,421.0195311,22.0448462,28.81027885,56.15902716,5.051318554,99.21833249,225.869355,15.08794525
14-01-2024,1267.480622,478.426174,26.01590315,32.90609584,66.8699456,0.60311208,101.5432591,197.6423963,13.67126175
15-01-2024,1160.520997,474.186143,26.71288485,24.69652687,63.63576844,0.295163312,101.6495632,210.3028693,14.38264541
16-01-2024,1453.851717,326.2827224,33.45382305,34.32672879,70.50808984,1.026146037,97.99576067,203.4574418,15.48697063
17-01-2024,1248.250179,429.0173419,36.44114932,27.31646584,59.89417672,0.097993375,88.92116032,205.7828346,19.62443831
18-01-2024,1378.467642,400.4590363,30.93586146,25.12977612,73.11702909,1.440056181,101.1026253,216.3401107,15.92478782
19-01-2024,1418.803268,397.1474184,29.00637716,24.45926447,58.89119781,0.746215835,100.966384,164.9767863,12.37632227
20-01-2024,1376.363686,421.2471705,26.83518981,27.97060552,65.01194498,0.667300858,90.36136155,203.5272998,16.95411305
